The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 5, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1500                         10                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                            0                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            3                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

Sample input file
 The initial temperature is: 138.346


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            112         10.555       -3596.43        1720.08       -5316.52       -5967.31        4.50905              1
            113          10.56       -3596.46        1719.48       -5315.94       -5969.31        4.50988              1
            114         10.565       -3596.32        1716.98        -5313.3        -5985.2        4.51773              1
            115          10.57       -3596.35        1712.96       -5309.31       -6011.35        4.53071              1
            116         10.575       -3596.41        1708.19        -5304.6       -6042.66        4.54628              1
            117          10.58       -3596.58        1703.33       -5299.91          -6074        4.56181              1
            118         10.585        -3596.7        1698.73       -5295.44       -6103.04        4.57614              1
            119          10.59       -3596.56        1694.54        -5291.1       -6129.03        4.58893              1
            120         10.595        -3596.5        1691.01       -5287.51       -6148.83        4.59847              1
            121           10.6       -3596.66         1688.7       -5285.36       -6158.22        4.60262              1
            122         10.605       -3596.43        1688.36       -5284.79       -6153.94        4.59991              1
            123          10.61       -3596.55        1690.66       -5287.22       -6129.54        4.58695              1
            124         10.615       -3596.57        1695.87       -5292.44       -6085.02         4.5639              1
            125          10.62        -3596.8        1703.62       -5300.42       -6022.37        4.53169              1
            126         10.625       -3596.82        1712.84       -5309.66       -5950.52        4.49496              1
            127          10.63       -3596.59        1721.89       -5318.48       -5881.17        4.45959              1
            128         10.635       -3596.88        1729.06       -5325.94       -5824.11        4.43033              1
            129          10.64       -3596.82        1733.08        -5329.9       -5790.71         4.4131              1
            130         10.645       -3596.86        1733.43        -5330.3       -5783.26        4.40893              1
            131          10.65       -3596.48        1730.19       -5326.67       -5802.75        4.41846              1
            132         10.655       -3596.39        1723.93       -5320.32       -5842.91        4.43835              1
            133          10.66       -3596.54        1715.75       -5312.29       -5896.07        4.46473              1
            134         10.665       -3596.18        1707.31       -5303.49       -5952.71        4.49301              1
            135          10.67       -3596.24        1700.53       -5296.77        -5996.7        4.51483              1
            136         10.675       -3596.06        1696.92       -5292.98       -6019.31        4.52597              1
            137          10.68       -3596.27        1697.02       -5293.29       -6014.98        4.52349              1
            138         10.685       -3596.47        1700.18       -5296.65       -5989.51         4.5104              1
            139          10.69       -3596.48        1705.01       -5301.48       -5953.28        4.49198              1
            140         10.695       -3596.22        1710.01       -5306.23       -5917.28         4.4738              1
            141           10.7       -3596.31        1714.01       -5310.32       -5888.35        4.45918              1
            142         10.705        -3596.4        1716.43       -5312.83       -5872.22        4.45114              1
            143          10.71       -3596.41        1717.31       -5313.72       -5869.33        4.44996              1
            144         10.715       -3595.87        1716.97       -5312.84       -5879.26        4.45558              1
            145          10.72       -3595.78        1715.58       -5311.36       -5897.99        4.46576              1
            146         10.725       -3595.93        1713.28        -5309.2       -5925.06        4.48028              1
            147          10.73       -3596.18         1710.6       -5306.78       -5956.85        4.49736              1
            148         10.735       -3596.18        1708.31       -5304.49       -5988.83        4.51477              1
            149          10.74       -3596.36        1706.51       -5302.86       -6018.37        4.53104              1
            150         10.745        -3596.7        1704.28       -5300.98       -6051.01        4.54888              1


   Total mass                       :               1000
   Coordinates of the center of mass:            5.21003        5.22715        5.21675
   Velocity of the center of mass   :         0.00411342       -0.03896     -0.0399279
   Translational kinetic energy     :            1.56452
            151          10.75       -3596.77        1700.39       -5297.16       -6095.64        4.57278              1
            152         10.755       -3596.82        1694.25       -5291.07       -6154.64        4.60378              1
            153          10.76       -3596.53        1686.23       -5282.76        -6225.6         4.6407              1
            154         10.765       -3596.21        1677.47       -5273.67       -6299.16        4.67871              1
            155          10.77       -3596.26         1669.5       -5265.76       -6363.14        4.71156              1
            156         10.775       -3596.51        1663.89        -5260.4        -6407.1        4.73405              1
            157          10.78       -3596.29        1661.84       -5258.12       -6424.65        4.74314              1
            158         10.785       -3596.48        1663.85       -5260.34       -6409.73        4.73558              1
