The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Sample input file
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                       120.27                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            0                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

 The coordinates are generated by putting atoms on a periodic lattice.
 The velocities are taken from a Maxwellian distribution.
 The initial temperature is: 119.366


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            127           0.63       -3596.74        1710.26          -5307       -5988.24        4.51557              1
            128          0.635       -3596.83        1708.82       -5305.65        -6002.6        4.52315              1
            129           0.64       -3596.19        1706.49       -5302.67       -6024.42        4.53458              1
            130          0.645       -3596.14        1703.56       -5299.71       -6047.66         4.5465              1
            131           0.65          -3596        1700.26       -5296.26       -6073.09        4.55947              1
            132          0.655       -3596.33        1696.45       -5292.79       -6099.97        4.57301              1
            133           0.66       -3596.21        1691.92       -5288.13       -6132.75        4.58958              1
            134          0.665       -3596.34        1686.75       -5283.09       -6168.71        4.60764              1
            135           0.67       -3596.55        1681.63       -5278.17       -6203.85        4.62524              1
            136          0.675       -3596.39        1677.63       -5274.03       -6232.15         4.6395              1
            137           0.68       -3596.64        1675.64       -5272.28       -6245.41        4.64611              1
            138          0.685       -3596.55        1675.63       -5272.18        -6245.8        4.64633              1
            139           0.69       -3596.84        1676.74       -5273.57        -6236.9        4.64176              1
            140          0.695       -3596.95        1678.13       -5275.08       -6225.84        4.63609              1
            141            0.7       -3597.31        1679.85       -5277.16       -6211.03        4.62841              1
            142          0.705       -3597.52        1682.77       -5280.29       -6187.62         4.6164              1
            143           0.71       -3597.67        1687.87       -5285.54       -6148.91        4.59668              1
            144          0.715       -3597.73        1695.31       -5293.04       -6093.97        4.56882              1
            145           0.72       -3597.77        1704.28       -5302.05       -6028.34        4.53558              1
            146          0.725       -3597.81        1713.86       -5311.67       -5958.76        4.50039              1
            147           0.73       -3597.98        1724.27       -5322.25       -5884.18        4.46275              1
            148          0.735       -3597.79         1736.2       -5333.99       -5801.84        4.42145              1
            149           0.74       -3597.88        1748.49       -5346.37       -5718.28        4.37965              1
            150          0.745       -3598.06        1758.03       -5356.09       -5655.69        4.34853              1
            151           0.75       -3597.59        1762.29       -5359.87       -5633.45        4.33798              1
            152          0.755       -3597.22        1760.65       -5357.87       -5653.16        4.34859              1
            153           0.76       -3597.06        1754.15       -5351.21       -5707.11        4.37642              1
            154          0.765       -3596.86        1744.74        -5341.6       -5782.22        4.41495              1
            155           0.77       -3596.82        1734.66       -5331.48        -5861.9        4.45577              1
            156          0.775       -3596.52        1725.93       -5322.45        -5932.9         4.4923              1
            157           0.78       -3596.37        1720.01       -5316.38       -5983.55        4.51853              1
            158          0.785       -3595.83        1717.63       -5313.46       -6010.17        4.53276              1
            159           0.79       -3595.98        1718.85       -5314.83       -6009.34        4.53298              1
            160          0.795       -3595.66        1723.14        -5318.8       -5988.35         4.5232              1
            161            0.8       -3596.21        1729.41       -5325.62        -5951.2        4.50508              1
            162          0.805       -3596.37        1735.85       -5332.23       -5914.27         4.4872              1
